NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
ARNOT OGDEN MEDICAL CENTER,600 ROE AVENUE,ELMIRA,NY,14905,81,CHEMUNG,36015,USA,42.10054568,-76.82786117
BORICUA COLLEGE,3755 BROADWAY,NEW YORK,NY,10032,1081,NEW YORK,36061,USA,40.8334339,-73.94580009
CUNY BOROUGH OF MANHATTAN COMMUNITY COLLEGE,199 CHAMBERS ST,NEW YORK,NY,10007,30069,NEW YORK,36061,USA,40.7187896,-74.01182622
CUNY CITY COLLEGE,160 CONVENT AVE,NEW YORK,NY,10031,18746,NEW YORK,36061,USA,40.81979371,-73.95055032
NEW YORK COLLEGE OF PODIATRIC MEDICINE,53 EAST 124 STREET,NEW YORK,NY,10035,495,NEW YORK,36061,USA,40.8048986,-73.94030603
UNION COLLEGE,807 UNION ST,SCHENECTADY,NY,12308,3138,SCHENECTADY,36093,USA,42.81757793,-73.928498
TRIANGLE TECH INC-ERIE,2000 LIBERTY STREET,ERIE,PA,16502,74,ERIE,42049,USA,42.11033892,-80.09404248
UNIVERSITY OF NORTH CAROLINA SCHOOL OF THE ARTS,1533 SOUTH MAIN ST.,WINSTON-SALEM,NC,27127,1516,FORSYTH,37067,USA,36.07419106,-80.23652825
WESTERN HILLS SCHOOL OF BEAUTY AND HAIR DESIGN,6490 GLENWAY,CINCINNATI,OH,45211,-999,HAMILTON,39061,USA,39.15236257,-84.62765932
BACONE COLLEGE,2299 OLD BACONE RD,MUSKOGEE,OK,74403,1206,MUSKOGEE,40101,USA,35.77719709,-95.33549402
VIRGIL'S BEAUTY COLLEGE,111 S NINTH ST,MUSKOGEE,OK,74401,23,MUSKOGEE,40101,USA,35.75112968,-95.38022232
ALL-STATE CAREER SCHOOL-LESTER,501 SEMINOLE ST,LESTER,PA,19029,346,DELAWARE,42045,USA,39.86992648,-75.27959509
ALTOONA BEAUTY SCHOOL INC,1528 VALLEY VIEW BLVD.,ALTOONA,PA,16602,61,BLAIR,42013,USA,40.50132844,-78.38824852
AMERICAN COLLEGE OF FINANCIAL SERVICES,270 S. BRYN MAWR AVE,BRYN MAWR,PA,19010,9088,DELAWARE,42045,USA,40.01781786,-75.32856857
THE SALON PROFESSIONAL ACADEMY-ALTOONA,415 D ORCHARD AVENUE,ALTOONA,PA,16601,80,BLAIR,42013,USA,40.467416,-78.405279
VENUS BEAUTY ACADEMY,1033 CHESTER PKE,SHARON HILL,PA,19079,130,DELAWARE,42045,USA,39.90871489,-75.27310492
WILSON COLLEGE,1015 PHILADELPHIA AVE,CHAMBERSBURG,PA,17201,1513,FRANKLIN,42055,USA,39.95015491,-77.64970875
VOGUE COLLEGE OF COSMETOLOGY,6012 INGRAM ROAD,SAN ANTONIO,TX,78238,126,BEXAR,48029,USA,29.46545926,-98.60384856
VATTEROTT COLLEGE-SPRINGFIELD,3850 SOUTH CAMPBELL,SPRINGFIELD,MO,65807,206,GREENE,29077,USA,37.14411771,-93.29442701
TRI-STATE INSTITUTE OF HAIR DESIGN,"195 COMMERCIAL DRIVE, SUITE 100",LONDON,KY,40744,44,LAUREL,21125,USA,37.10275435,-84.06587111
PALM BEACH STATE COLLEGE,4200 CONGRESS AVE,LAKE WORTH,FL,33461,32648,PALM BEACH,12099,USA,26.61321375,-80.08710436
UNIVERSITY OF GEORGIA,ADMINISTRATION BUILDING,ATHENS,GA,30602,48350,CLARKE,13059,USA,33.937727,-83.37143
REND LAKE COLLEGE,468 N KEN GRAY PKWY,INA,IL,62846,2704,JEFFERSON,17081,USA,38.13148101,-88.91828311
DES MOINES AREA COMMUNITY COLLEGE,2006 ANKENY BLVD,ANKENY,IA,50023,24627,POLK,19153,USA,41.707348,-93.611597
COLBY COMMUNITY COLLEGE,1255 S RANGE,COLBY,KS,67701,1470,THOMAS,20193,USA,39.37812665,-101.0513551
MOUNT WACHUSETT COMMUNITY COLLEGE,444 GREEN ST,GARDNER,MA,1440,4909,WORCESTER,25027,USA,42.59315067,-71.98414895
UNIVERSITY OF MINNESOTA-TWIN CITIES,100 CHURCH STREET SE,MINNEAPOLIS,MN,55455,70443,HENNEPIN,27053,USA,44.97788627,-93.23535212
DEFIANCE COLLEGE,701 N CLINTON,DEFIANCE,OH,43512,778,DEFIANCE,39039,USA,41.29710002,-84.3599151
O C COLLINS CAREER CENTER,11627 STATE RTE 243,CHESAPEAKE,OH,45619,462,LAWRENCE,39087,USA,38.49189777,-82.47351637
OHIO UNIVERSITY-SOUTHERN CAMPUS,1804 LIBERTY AVE,IRONTON,OH,45638,1564,LAWRENCE,39087,USA,38.52478137,-82.6668764
IGLOBAL UNIVERSITY,8133 LEESBURG PIKE #230,VIENNA,VA,22182,304,FAIRFAX,51059,USA,38.915226,-77.227315
ELI WHITNEY TECHNICAL HIGH SCHOOL,100 FAIRVIEW AVENUE,HAMDEN,CT,6514,-999,NEW HAVEN,9009,USA,41.34241952,-72.94275051
PITC INSTITUTE,827 GLENSIDE AVE,WYNCOTE,PA,19095,304,MONTGOMERY,42091,USA,40.09962717,-75.15488915
STRAYER UNIVERSITY-FLORIDA,4902 EISENHOWER BLVD STE 100,TAMPA,FL,33634,2367,HILLSBOROUGH,12057,USA,27.98991494,-82.54695508
PAUL MITCHELL THE SCHOOL-SHERMAN OAKS,15301 VENTURA BLVD UNIT P2,SHERMAN OAKS,CA,91403,326,LOS ANGELES,6037,USA,34.15571102,-118.4677486
PAUL MITCHELL THE SCHOOL-MCLEAN,8041-L TYSONS CORNER CTR,MCLEAN,VA,22102,236,FAIRFAX,51059,USA,38.91758867,-77.22232328
STRAYER UNIVERSITY-DELAWARE,240 CONTINENTAL DR STE 108,NEWARK,DE,19713,336,NEW CASTLE,10003,USA,39.68612671,-75.66009324
STRAYER UNIVERSITY-ALABAMA,3570 GRANDVIEW PKWY STE 200,BIRMINGHAM,AL,35243,1005,JEFFERSON,1073,USA,33.43859642,-86.71769736
STRAYER UNIVERSITY-NORTH CAROLINA,4 COPLEY PKWY,MORRISVILLE,NC,27560,5337,WAKE,37183,USA,35.86546048,-78.8224519
STRAYER UNIVERSITY-NEW JERSEY,2201 RTE 38 STE 100,CHERRY HILL,NJ,8002,964,CAMDEN,34007,USA,39.93930174,-75.01539552
PAUL MITCHELL THE SCHOOL-SPRINGFIELD,3017 S KANSAS EXPY,SPRINGFIELD,MO,65807,125,GREENE,29077,USA,37.1591345,-93.31814973
MISSISSIPPI INSTITUTE OF AESTHETICS NAILS & COSMETOLOGY,507 SPRINGRIDGE RD STE G,CLINTON,MS,39056,71,HINDS,28049,USA,32.32091004,-90.32501068
AVEDA INSTITUTE-CHAPEL HILL,"201 S. ESTES DRIVE, SPACE 200",CHAPEL HILL,NC,27514,281,ORANGE,37135,USA,35.927944,-79.026769
CAREER SCHOOL OF NY,350 ST. MARKS PL,STATEN ISLAND,NY,10301,69,RICHMOND,36085,USA,40.64135234,-74.07816759
STRAYER UNIVERSITY-WEST VIRGINIA,100 CORPORATE CENTER DR,SCOTT DEPOT,WV,25560,180,PUTNAM,54079,USA,38.45354875,-81.92685078
CARRINGTON COLLEGE-LAS VEGAS,"5740 S. EASTERN AVE., STE. 140",LAS VEGAS,NV,89119,353,CLARK,32003,USA,36.08508567,-115.1180382
CARRINGTON COLLEGE-RENO,5580 KIETZKE LN.,RENO,NV,89511,405,WASHOE,32031,USA,39.4632463,-119.7870153
SAN DIEGO CULINARY INSTITUTE,8024 LA MESA BLVD,LA MESA,CA,91942,49,SAN DIEGO,6073,USA,32.7643294,-117.0238147
BEYOND 21ST CENTURY BEAUTY ACADEMY,13640 IMPERIAL HWY STE 6-8,SANTA FE SPRINGS,CA,90670,65,LOS ANGELES,6037,USA,33.91622521,-118.0415012
PAUL MITCHELL THE SCHOOL-TEMECULA,27536 YNEZ RD STE E-1,TEMECULA,CA,92591,384,RIVERSIDE,6065,USA,33.50657856,-117.1464745
EUROPEAN ACADEMY OF COSMETOLOGY AND HAIRDRESSING,1575 BOSTON POST RD BLDG C,GUILFORD,CT,6437,33,NEW HAVEN,9009,USA,41.29544055,-72.70014696
FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY,810 E UNIVERSITY AVE,GAINESVILLE,FL,32601,73,ALACHUA,12001,USA,29.65224623,-82.3158867
ERIC FISHER ACADEMY,6727 W CENTRAL,WICHITA,KS,67212,208,SEDGWICK,20173,USA,37.69365194,-97.42266308
MORENO VALLEY COLLEGE,16130 LASSELLE ST,MORENO VALLEY,CA,92551,10501,RIVERSIDE,6065,USA,33.88706338,-117.2025542
CHAMBERLAIN UNIVERSITY-INDIANA,"9100 KEYSTONE CROSSING, SUITE 600",INDIANAPOLIS,IN,46240,254,MARION,18097,USA,39.91901587,-86.11122091
CARRINGTON COLLEGE-MESQUITE,3733 W. EMPORIUM CIRCLE,MESQUITE,TX,75150,133,DALLAS,48113,USA,32.81589859,-96.62598512
SESSIONS COLLEGE FOR PROFESSIONAL DESIGN,"51 WEST 3RD ST, SUITE E-301",TEMPE,AZ,85281,176,MARICOPA,4013,USA,33.42694248,-111.9404558
VIRGINIA COLLEGE-SHREVEPORT,2950 EAST TEXAS STREET,BOSSIER CITY,LA,71111,633,BOSSIER,22015,USA,32.52665302,-93.70379717
ALTIERUS CAREER COLLEGE-WOODBRIDGE,14555 POTOMAC MILLS RD,WOODBRIDGE,VA,22192,240,PRINCE WILLIAM,51153,USA,38.63475019,-77.29595133
VATTEROTT COLLEGE-FAIRVIEW HEIGHTS,110 COMMERCE LANE,FAIRVIEW HEIGHTS,IL,62208,286,ST. CLAIR,17163,USA,38.59741683,-89.98902295
NEW YORK THEOLOGICAL SEMINARY,475 RIVERSIDE DR  STE 500,NEW YORK,NY,10115,397,NEW YORK,36061,USA,40.81087713,-73.96378502
FLATHEAD VALLEY COMMUNITY COLLEGE,777 GRANDVIEW DR,KALISPELL,MT,59901,2691,FLATHEAD,30029,USA,48.22738927,-114.3272578
CENTRAL COMMUNITY COLLEGE,3134 WEST HWY 34,GRAND ISLAND,NE,68802,6919,HALL,31079,USA,40.88958193,-98.37254915
SURRY COMMUNITY COLLEGE,630 S. MAIN ST.,DOBSON,NC,27017,3775,SURRY,37171,USA,36.3843339,-80.71683414
DENISON UNIVERSITY,100 WEST COLLEGE STREET,GRANVILLE,OH,43023,3102,LICKING,39089,USA,40.0725823,-82.5206251
SAM HOUSTON STATE UNIVERSITY,1806 AVE J,HUNTSVILLE,TX,77340,23273,WALKER,48471,USA,30.71355269,-95.54862709
AVIATION INSTITUTE OF MAINTENANCE-ORLANDO,2725 SOUTH US HIGHWAY 17/92,CASSELBERRY,FL,32707,308,SEMINOLE,12117,USA,28.680653,-81.334196
PROFILE INSTITUTE OF BARBER-STYLING,26 CLEVELAND AVE SE,ATLANTA,GA,30315,71,FULTON,13121,USA,33.68138655,-84.38816768
PACIFIC RIM CHRISTIAN UNIVERSITY,2223 HOONEE PL.,HONOLULU,HI,96819,207,HONOLULU,15003,USA,21.32718509,-157.8888158
MIDWESTERN CAREER COLLEGE,20 NORTH WACKER DRIVE STE 3800,CHICAGO,IL,60606,722,COOK,17031,USA,41.88251045,-87.63751748
PAUL MITCHELL THE SCHOOL-NORMAL,1503 E COLLEGE AVE STE L,NORMAL,IL,61761,143,MCLEAN,17113,USA,40.50929847,-88.95869418
MY LE'S BEAUTY COLLEGE,601 TERRY PARKWAY STE. A,GRETNA,LA,70056,29,JEFFERSON,22051,USA,29.90321009,-90.02919496
BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT,65 PLEASANT ST,UPTON,MA,1568,74,WORCESTER,25027,USA,42.16381961,-71.61624338
SOUTHERN WORCESTER COUNTY REGIONAL VOC SCHOOL DISTRICT,57 OLD MUGGETT HILL RD,CHARLTON,MA,1507,46,WORCESTER,25027,USA,42.1336225,-71.95756405
L'ESPRIT ACADEMY,31501 SCHOOLCRAFT RD,LIVONIA,MI,48150,175,WAYNE,26163,USA,42.3821289,-83.35480735
MARKETTI ACADEMY OF COSMETOLOGY,4390 DIXIE HWY,WATERFORD,MI,48329,63,OAKLAND,26125,USA,42.68304917,-83.37519213
CENTERPOINT MASSAGE AND SHIATSU THERAPY SCHOOL AND CLINIC,5300 WEST 35TH STREET,ST LOUIS PARK,MN,55416,125,HENNEPIN,27053,USA,44.93880469,-93.34515401
AVALON SCHOOL OF COSMETOLOGY,1428 N MCMILLAN ST,WORTHINGTON,MN,56187,20,NOBLES,27105,USA,43.63183204,-95.60249136
CITY VISION UNIVERSITY,3101 TROOST AVE. SUITE 200,KANSAS CITY,MO,64109,159,JACKSON,29095,USA,39.07095258,-94.57614248
BITTERROOT SCHOOL OF COSMETOLOGY,2079 N FIRST ST STE B,HAMILTON,MT,59840,41,RAVALLI,30081,USA,46.27347519,-114.1594487
NATIONAL CAREER INSTITUTE,134 EVERGREEN PLACE,EAST ORANGE,NJ,7018,243,ESSEX,34013,USA,40.76134944,-74.22227897
INTERNATIONAL ACADEMY OF STYLE,2295 MARKET ST,RENO,NV,89502,121,WASHOE,32031,USA,39.516236,-119.783279
EDP SCHOOL,1601 VOORHIES AVE 2ND FLOOR,BROOKLYN,NY,11235,176,KINGS,36047,USA,40.58596195,-73.95295598
NEW YORK MEDICAL CAREER TRAINING CENTER,36-09 MAIN ST 5TH FL,FLUSHING,NY,11354,332,QUEENS,36081,USA,40.76271846,-73.8313747
ONONDAGA SCHOOL OF THERAPEUTIC MASSAGE-SYRACUSE,719 E GENESEE ST,SYRACUSE,NY,13210,58,ONONDAGA,36067,USA,43.04770638,-76.14046718
FINGER LAKES SCHOOL OF MASSAGE,215 EAST STATE STREET,ITHACA,NY,14850,64,TOMPKINS,36109,USA,42.43935,-76.496181
FOUR COUNTY CAREER CENTER,22-900 STATE RTE 34,ARCHBOLD,OH,43502,269,HENRY,39069,USA,41.45280838,-84.3031147
PORTLAND ACTORS CONSERVATORY,1515 SW MORRISON STREET,PORTLAND,OR,97205,39,MULTNOMAH,41051,USA,45.51383677,-122.6911899
SOMERSET COUNTY TECHNOLOGY CENTER,281 TECHNOLOGY DR,SOMERSET,PA,15501,123,SOMERSET,42111,USA,40.00468987,-79.02966613
METRO BEAUTY ACADEMY,4977 MEDICAL CENTER CIRCLE,ALLENTOWN,PA,18106,194,LEHIGH,42077,USA,40.56870564,-75.55547413
BRIGHTWOOD COLLEGE-CHULA VISTA,"555 BROADWAY, SUITE 144",CHULA VISTA,CA,91910,282,SAN DIEGO,6073,USA,32.6294397,-117.0878165
INTERCOAST COLLEGES-ROSEVILLE,1200 MELODY LN STE 120,ROSEVILLE,CA,92678,-999,PLACER,6061,USA,38.72332218,-121.2931638
WEST COAST UNIVERSITY-ONTARIO,2855 E. GUASTI RD,ONTARIO,CA,91761,1427,SAN BERNARDINO,6071,USA,34.06657658,-117.5900431
PAUL MITCHELL THE SCHOOL-CHICAGO,1225 S HALSTED ST,CHICAGO,IL,60607,216,COOK,17031,USA,41.86621273,-87.64664391
BRIGHTWOOD COLLEGE-INDIANAPOLIS,"4200 S EAST STREET, SUITE 7",INDIANAPOLIS,IN,46227,543,MARION,18097,USA,39.70482903,-86.15112338
DORSEY BUSINESS SCHOOLS-WATERFORD PONTIAC,440 N TELEGRAPH RD,PONTIAC,MI,48341,164,OAKLAND,26125,USA,42.64442777,-83.32499009
MILLER-MOTTE COLLEGE-FAYETTEVILLE,3725 RAMSEY ST.,FAYETTEVILLE,NC,28311,777,CUMBERLAND,37051,USA,35.11135561,-78.8816307
FORTIS COLLEGE-GRAND PRAIRIE,401 E PALACE PKWY STE 100,GRAND PRAIRIE,TX,75050,265,DALLAS,48113,USA,32.76063635,-97.00512236
THE ART INSTITUTE OF VIRGINIA BEACH,"TWO COLUMBUS CENTER, 4500 MAIN ST STE 100",VIRGINIA BEACH,VA,23462,444,VIRGINIA BEACH,51810,USA,36.84237896,-76.13173191
BRYANT & STRATTON COLLEGE-BAYSHORE,500 SILVERSPRING RD STE K340,GLENDALE,WI,53217,401,MILWAUKEE,55079,USA,43.11894137,-87.91540043
PORTLAND STATE UNIVERSITY,724 SW HARRISON,PORTLAND,OR,97201,29999,MULTNOMAH,41051,USA,45.51169772,-122.6841972
BUCKS COUNTY COMMUNITY COLLEGE,275 SWAMP RD,NEWTOWN,PA,18940,8921,BUCKS,42017,USA,40.23910241,-74.9658408
ITT TECHNICAL INSTITUTE-MERRILLVILLE,8488 GEORGIA ST,MERRILLVILLE,IN,46410,-999,LAKE,18089,USA,41.46436241,-87.32684791
EUROPEAN MASSAGE THERAPY SCHOOL-LAS VEGAS,"9440 W. SAHARA AVE., SUITE 250",LAS VEGAS,NV,89117,112,CLARK,32003,USA,36.145538,-115.300995
FORTIS COLLEGE-INDIANAPOLIS,9001 N WESLEYAN RD STE 101,INDIANAPOLIS,IN,46268,365,MARION,18097,USA,39.9184806,-86.22323248
BRIGHTWOOD COLLEGE-ARLINGTON,"2241 SOUTH WATSON ROAD, SUITE 181",ARLINGTON,TX,76010,286,TARRANT,48439,USA,32.70889019,-97.06071901
BRIGHTWOOD COLLEGE-CHARLOTTE,6070 EAST INDEPENDENCE BLVD,CHARLOTTE,NC,28212,349,MECKLENBURG,37119,USA,35.17689835,-80.75267786
GLOBE UNIVERSITY-MADISON EAST,4901 EASTPARK BLVD,MADISON,WI,53718,-999,DANE,55025,USA,43.14485528,-89.29486236
GLOBE UNIVERSITY–WAUSAU,1480 COUNTRY ROAD XX,ROTHSCHILD,WI,54474,-999,MARATHON,55073,USA,44.8647672,-89.63687643
STRAYER UNIVERSITY-GEORGIA,"3355 NORTHEAST EXPWY, STE 100",ATLANTA,GA,30341,7101,DEKALB,13089,USA,33.87423584,-84.27562375
STRAYER UNIVERSITY-MISSISSIPPI,"460 BRIARWOOD DRIVE, SUITE 200",JACKSON,MS,39206,382,HINDS,28049,USA,32.301002,-90.187874
STRAYER UNIVERSITY-SOUTH CAROLINA,555 N PLEASANTBURG DR STE 300,GREENVILLE,SC,29607,2415,GREENVILLE,45045,USA,34.85649189,-82.35794064
STRAYER UNIVERSITY-TEXAS,8501 N. MOPAC EXPRESSWAY,AUSTIN,TX,78759,2226,TRAVIS,48453,USA,30.37117474,-97.73985044
THE ART INSTITUTE OF SAN ANTONIO,10000 IH-10 W STE 200,SAN ANTONIO,TX,78230,872,BEXAR,48029,USA,29.53290546,-98.56549387
EMPIRE BEAUTY SCHOOL-WEST PALM,4258  OKEECHOBEE BLVD,WEST PALM BEACH,FL,33409,88,PALM BEACH,12099,USA,26.70554058,-80.10740061
EMPIRE BEAUTY SCHOOL-PINEVILLE,8700 PINEVILLE-MATTHEWS RD,CHARLOTTE,NC,28226,140,MECKLENBURG,37119,USA,35.08956119,-80.86533819
BROADVIEW ENTERTAINMENT ARTS UNIVERSITY,240 E MORRIS AVE,SALT LAKE CITY,UT,84115,117,SALT LAKE,49035,USA,40.7173548,-111.8844901
BRYANT & STRATTON COLLEGE-HAMPTON,"4410 EAST CLAIBORNE SQUARE, SUITE 233",HAMPTON,VA,23666,389,HAMPTON,51650,USA,37.04386892,-76.3927247
PAUL MITCHELL THE SCHOOL-PHOENIX,3423 W BETHANY HOME ROAD,PHOENIX,AZ,85017,130,MARICOPA,4013,USA,33.52366699,-112.1330465
GOLDEN STATE COLLEGE OF COURT REPORTING,"7901 STONERIDGE DRIVE, SUITE 105",PLEASANTON,CA,94588,-999,ALAMEDA,6001,USA,37.70076349,-121.9318191
PAUL MITCHELL THE SCHOOL-MODESTO,3100 MCHENRY AVE,MODESTO,CA,95350,342,STANISLAUS,6099,USA,37.68300994,-120.9937448
COSMO BEAUTY ACADEMY,3500 FULTON AVENUE,SACRAMENTO,CA,95821,112,SACRAMENTO,6067,USA,38.62883,-121.401027
PAUL MITCHELL THE SCHOOL-FRESNO,5091 N FRESNO STREET STE 104,FRESNO,CA,93710,295,FRESNO,6019,USA,36.80977113,-119.7824184
GURNICK ACADEMY OF MEDICAL ARTS,2121 S EL CAMINO REAL BLDG C 200,SAN MATEO,CA,94403,1714,SAN MATEO,6081,USA,37.54736415,-122.3079812
PAUL MITCHELL THE SCHOOL-EAST BAY,"100 CRESCENT DR., SUITE D",PLEASANT HILL,CA,94523,211,CONTRA COSTA,6013,USA,37.94491641,-122.0612248
SOUTH UNIVERSITY–RICHMOND,2151 OLD BRICK RD,GLEN ALLEN,VA,23060,788,HENRICO,51087,USA,37.64706081,-77.59996569
AVEDA INSTITUTE-DENVER,700 16TH STREET,DENVER,CO,80202,467,DENVER,8031,USA,39.74486927,-104.9931897
PAUL MITCHELL THE SCHOOL-DELAWARE,1420 PULASKI HWY,NEWARK,DE,19702,122,NEW CASTLE,10003,USA,39.62273577,-75.68035128
FUTURE-TECH INSTITUTE,3446 SW 8TH ST SUITE 218,MIAMI,FL,33135,96,MIAMI-DADE,12086,USA,25.76455512,-80.25152827
FRED K MARCHMAN TECHNICAL COLLEGE,7825 CAMPUS DR.,NEW PORT RICHEY,FL,34653,296,PASCO,12101,USA,28.27119591,-82.69177946
SOLEX COLLEGE,"350 E DUNDEE RD., STE. 200",WHEELING,IL,60090,-999,COOK,17031,USA,42.14041003,-87.90666857
COMPASS COLLEGE OF CINEMATIC ARTS,41 SHELDON BLVD SE,GRAND RAPIDS,MI,49503,167,KENT,26081,USA,42.961895,-85.667072
NOVA ACADEMY OF COSMETOLOGY,5979 BANDEL ROAD,ROCHESTER,MN,55901,97,OLMSTED,27109,USA,44.08537,-92.509748
STARTING POINTS INC,2737 KENNEDY BLVD,JERSEY CITY,NJ,7306,15,HUDSON,34017,USA,40.72971847,-74.0695547
SAE INSTITUTE OF TECHNOLOGY-NEW YORK,218 WEST 18TH ST FL 4,NEW YORK,NY,10011,298,NEW YORK,36061,USA,40.74963467,-73.98850404
JOHN PAOLO'S XTREME BEAUTY INSTITUTE-GOLDWELL PRODUCT ARTISTRY,638 COLUMBIA ST EXTENSION,LATHAM,NY,12110,-999,ALBANY,36001,USA,42.7617741,-73.75460332
THE ARTISAN COLLEGE OF COSMETOLOGY,1645 TIFFIN AVE.,FINDLAY,OH,45840,24,HANCOCK,39063,USA,41.05171834,-83.61815396
SAGE SCHOOL OF MASSAGE & ESTHETICS,369 NE REVERE AVE SUITE 101,BEND,OR,97701,51,DESCHUTES,41017,USA,44.06844975,-121.3015273
PELOTON COLLEGE,8150 NORTH CENTRAL EXPRESSWAY M2240,DALLAS,TX,75206,88,DALLAS,48113,USA,32.86199703,-96.76935335
PAUL MITCHELL THE SCHOOL-MILWAUKEE,2000 SILVERNAIL RD,PAWAUKEE,WI,53072,115,WAUKESHA,55133,USA,43.04430306,-88.2583458
PENNSYLVANIA STATE UNIVERSITY-PENN STATE NEW KENSINGTON,3550 SEVENTH STREET ROAD,NEW KENSINGTON,PA,15068,722,WESTMORELAND,42129,USA,40.55119664,-79.69782003
ITT TECHNICAL INSTITUTE-TALLAHASSEE,2639 N MONROE ST BUILDING A STE 100,TALLAHASSEE,FL,32303,-999,LEON,12073,USA,30.47733933,-84.29653216
ITT TECHNICAL INSTITUTE-SALEM,2159 APPERSON DR,SALEM,VA,24153,-999,SALEM,51775,USA,37.26633337,-80.01970659
ITT TECHNICAL INSTITUTE-AKRON,3428 W MARKET ST,AKRON,OH,44333,-999,SUMMIT,39153,USA,41.13424549,-81.62426096
ITT TECHNICAL INSTITUTE-CORONA,4160 TEMESCAL CANYON RD STE 100,CORONA,CA,92883,-999,RIVERSIDE,6065,USA,33.81900928,-117.5085347
ITT TECHNICAL INSTITUTE-JOHNSON CITY,"4721 LAKE PARK DR, SUITE 100",JOHNSON CITY,TN,37615,-999,WASHINGTON,47179,USA,36.38166467,-82.43060367
ITT TECHNICAL INSTITUTE-DESOTO,921 W BELT LINE RD STE 181,DESOTO,TX,75115,-999,DALLAS,48113,USA,32.5915671,-96.87813091
ITT TECHNICAL INSTITUTE-NORTH CHARLESTON,2431 W AVIATION AVE,NORTH CHARLESTON,SC,29406,-999,CHARLESTON,45019,USA,32.90043191,-80.02749521
ITT TECHNICAL INSTITUTE-AURORA,14001 E ILIFF AVE STE 118,AURORA,CO,80014,-999,ARAPAHOE,8005,USA,39.67420229,-104.8420642
ITT TECHNICAL INSTITUTE-DEARBORN,19855 W OUTER DR STE L10W,DEARBORN,MI,48124,-999,WAYNE,26163,USA,42.30331071,-83.26413878
ITT TECHNICAL INSTITUTE-LAS VEGAS,3825 W CHEYENNE AVE STE 600,NORTH LAS VEGAS,NV,89032,-999,CLARK,32003,USA,36.21691551,-115.1903879
UNIVERSITY OF PHOENIX-MARYLAND,8830 STANFORD BLVD,COLUMBIA,MD,21045,53,HOWARD,24027,USA,39.189991,-76.815804
SALON & SPA INSTITUTE,2695 NORTH CORIA STREET,BROWNSVILLE,TX,78520,94,CAMERON,48061,USA,25.93889635,-97.50858031
THE CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY AT WASHINGTON DC,901 15TH ST NW,WASHINGTON,DC,20005,452,DISTRICT OF COLUMBIA,11001,USA,38.90166628,-77.0332619
HERZING UNIVERSITY-KENOSHA,4006 WASHINGTON RD,KENOSHA,WI,53144,339,KENOSHA,55059,USA,42.60388898,-87.85745216
HERZING UNIVERSITY-BROOKFIELD,555 S EXECUTIVE DR,BROOKFIELD,WI,53005,284,WAUKESHA,55133,USA,43.02733013,-88.11565642
FORTIS INSTITUTE-HOUSTON,450 N SAM HOUSTON PKWY E STE 200,HOUSTON,TX,77060,376,HARRIS,48201,USA,29.93751408,-95.39523635
SOUTHERN CAREERS INSTITUTE-BROWNSVILLE,935 N. EXPRESSWAY,BROWNSVILLE,TX,78520,362,CAMERON,48061,USA,25.93489951,-97.49906344
STRAYER UNIVERSITY-GLOBAL REGION,"1133 15TH ST NW, SUITE 200",WASHINGTON,DC,20005,10379,DISTRICT OF COLUMBIA,11001,USA,38.90488089,-77.03413336
KENNETH SHULER SCHOOL OF COSMETOLOGY-FLORENCE,2443 WEST LUCAS STREET,FLORENCE,SC,29501,176,FLORENCE,45041,USA,34.23842475,-79.80945024
FORTIS COLLEGE-COLUMBIA,246 STONERIDGE DR STE 101,COLUMBIA,SC,29210,423,RICHLAND,45079,USA,34.01506291,-81.08190297
BROWN MACKIE COLLEGE-ALBUQUERQUE,10500 COOPER AVE NE,ALBUQUERQUE,NM,87123,175,BERNALILLO,35001,USA,35.07932914,-106.5270747
BROWN MACKIE COLLEGE-ST LOUIS,2 SOCCER PARK RD,FENTON,MO,63026,199,ST. LOUIS,29189,USA,38.54435874,-90.4365647
AVANT GARD THE SCHOOL,1060 E. MAIN ST.,BROWNSBURG,IN,46112,-999,HENDRICKS,18063,USA,39.836723,-86.378861
CALIFORNIA UNIVERSITY OF MANAGEMENT AND SCIENCES,721 N EUCLID ST,ANAHEIM,CA,92801,258,ORANGE,6059,USA,33.84204138,-117.9419919
ROSS MEDICAL EDUCATION CENTER-GRANGER,445 E UNIVERSITY DR,GRANGER,IN,46530,182,ST. JOSEPH,18141,USA,41.71783521,-86.17427717
ROSS MEDICAL EDUCATION CENTER-NILES,"5555 YOUNGSTOWN-WARREN RD, UNIT 909",NILES,OH,44446,160,TRUMBULL,39155,USA,41.21419951,-80.75154364
ROSS MEDICAL EDUCATION CENTER-CANTON,44958 FORD RD,CANTON,MI,48187,132,WAYNE,26163,USA,42.32361741,-83.48201165
ILLINOIS MEDIA SCHOOL-CHICAGO CAMPUS,530 S. STATE ST.,CHICAGO,IL,60605,159,COOK,17031,USA,41.87512229,-87.62804595
SOUTH TEXAS VOCATIONAL TECHNICAL INSTITUTE-SAN ANTONIO,734 SE MILITARY,SAN ANTONIO,TX,78216,587,BEXAR,48029,USA,29.35599974,-98.48914469
